Time_stamp,RPF_Flag,Total_RPF,P_kW,Q_kvar,V1,V2,V3,EnergyCost_USD_per_kWh,P_c_kW,P_d_kW,E_kWh,Pnet_kW,Pmax_kW
04-13 7:00,0,0.0,1316.279,-63.3726,1.005513284,1.005559167,1.005543345,0.0703,0.0,0.0,10000.0,1316.279,10867.399821162677
04-13 8:00,1,-4497.3,-4497.3,196.9005,0.9792669689,0.9792707161,0.9792652201,0.0703,4497.3,0.0,10000.0,0.0,10582.063893844173
04-13 9:00,1,-7431.06,-7431.06,651.015,0.968663154,0.9686308029,0.9686358825,0.0703,7431.06,0.0,14272.435000000001,0.0,10448.697472394691
04-13 10:00,1,-8277.58,-8277.58,831.426,0.9657745429,0.9657296178,0.965737945,0.0703,8277.58,0.0,21331.942000000003,0.0,10404.435787601584
04-13 11:00,1,-8471.87,-8471.87,862.469,0.9642074116,0.9641729371,0.9641766011,0.0703,8471.87,0.0,29195.643000000004,0.0,10385.026073579318
04-13 12:00,1,-8232.51,-8232.51,825.102,0.9639734182,0.9639512263,0.9639499772,0.0703,8232.51,0.0,37243.9195,0.0,10385.644365270293
04-13 13:00,1,-6524.38,-6524.38,448.645,0.9676404113,0.9676571072,0.9676420351,0.0703,6524.38,0.0,45064.804000000004,0.0,10448.627136699622
04-13 14:00,1,-6220.65,-6220.65,390.187,0.9667036049,0.9667562326,0.9667281284,0.0703,6220.65,0.0,51262.965000000004,0.0,10440.841360930104
04-13 15:00,1,-4112.99,-4112.99,31.89741,0.9725125952,0.972591287,0.972554814,0.0703,4112.99,0.0,57172.582500000004,0.0,10510.864849977459
04-13 16:00,0,0.0,1051.865,-204.6615,0.9938500456,0.9939749947,0.9939272384,0.0703,0.0,0.0,61079.923,1051.865,10739.578435411484
04-13 17:00,0,0.0,1073.51,-191.7763,0.9933783115,0.9935023031,0.9934545468,0.0703,0.0,0.0,61079.923,1073.51,10734.716939191954
04-13 18:00,0,0.0,1185.358,-125.00344,1.002557015,1.002554725,1.002559721,0.0999,0.0,1185.358,61079.923,0.0,10834.887433364709
04-13 19:00,0,0.0,1392.392,-10.8222,1.004568567,1.004573106,1.004576686,0.0999,0.0,1392.392,59832.17773684211,0.0,10857.368704268052
04-13 20:00,0,0.0,1332.696,-46.817,1.003695464,1.003701085,1.003703999,0.0999,0.0,1332.6960000000001,58366.50194736842,-2.2737367544323206e-13,10847.8365774674
04-13 21:00,0,0.0,1294.948,-69.5241,1.003158153,1.003165273,1.003167813,0.0999,0.0,1294.948,56963.66405263158,0.0,10841.907436967429
04-13 22:00,0,0.0,1246.317,-98.72966,1.002500182,1.002508426,1.002510633,0.0481,0.0,0.0,55600.560894736846,1246.317,10834.569172809732
04-13 23:00,0,0.0,1183.96,-136.08805,1.00164773,1.001656474,1.001658722,0.0481,0.0,0.0,55600.560894736846,1183.96,10824.950304779251
04-14 0:00,0,0.0,1122.421,-172.8566,1.000502328,1.000507408,1.000511904,0.0481,0.0,0.0,55600.560894736846,1122.421,10812.044522291173
04-14 1:00,0,0.0,1083.771,-195.897,1.000125107,1.000130104,1.000134392,0.0481,0.0,0.0,55600.560894736846,1083.771,10807.573936441808
04-14 2:00,0,0.0,1135.586,-164.9888,1.001058083,1.001064079,1.001067743,0.0481,0.0,0.0,55600.560894736846,1135.586,10818.17474198669
04-14 3:00,0,0.0,1180.855,-137.93802,1.002155188,1.002161599,1.002164514,0.0481,0.0,0.0,55600.560894736846,1180.855,10830.411939001675
04-14 4:00,0,0.0,1189.519,-132.75661,1.003041448,1.003047069,1.003049192,0.0481,0.0,0.0,55600.560894736846,1189.519,10840.056105121814
04-14 5:00,0,0.0,1199.148,-126.99339,1.004074516,1.004079304,1.004080678,0.0481,0.0,0.0,55600.560894736846,1199.148,10851.291315456676
04-14 6:00,0,0.0,1195.299,-129.29818,1.003702209,1.003732395,1.003723027,0.0481,0.0,1577.4969215851613,55600.560894736846,-382.19792158516134,10847.239918840793
04-14 7:00,1,-5464.69,-5464.69,312.8988,0.9734995728,0.9735283848,0.9735142702,0.0703,5464.69,0.0,53940.037819384044,0.0,10516.926859579859
04-14 8:00,1,-12849.28,-12849.28,2615.198,0.9539416797,0.9539430953,0.9539347682,0.0703,12849.28,0.0,59131.49331938404,0.0,9972.933340591893
04-14 9:00,1,-16599.15,-16599.15,4656.03,0.9483838368,0.9483875007,0.9483779661,0.0703,16599.15,0.0,71338.30931938405,0.0,9131.552045622928
04-14 10:00,1,-17934.64,-17934.64,5609.57,0.9472461792,0.9472771979,0.9472581703,0.0703,17934.64,0.0,87107.50181938405,0.0,8564.226023611145
04-14 11:00,1,-16359.97,-16359.97,4430.8,0.9471689447,0.947230649,0.9471989225,0.0703,16359.97,0.0,104145.40981938405,0.0,9228.4431491149
04-14 12:00,1,-11969.94,-11969.94,2001.655,0.9517105401,0.9518129227,0.9517643336,0.0703,11969.94,0.0,119687.38131938405,0.0,10089.445758237396
04-14 13:00,1,-18350.86,-18350.86,5807.93,0.944517991,0.9445793206,0.9445501338,0.0703,18350.86,0.0,131058.82431938405,0.0,8395.136143208203
04-14 14:00,1,-13029.15,-13029.15,2467.85,0.9480141522,0.9481050432,0.9480617419,0.0703,13029.15,0.0,148492.14131938404,0.0,9944.4950299082
04-14 15:00,1,-5320.02,-5320.02,-22.85836,0.964545911,0.9647045851,0.9646378013,0.0703,5320.02,0.0,160869.83381938405,0.0,10424.784289627069
04-14 16:00,0,0.0,700.403,-402.063,0.9865736418,0.9867778656,0.9867014639,0.0703,0.0,11355.705053803975,165923.85281938405,-10655.302053803975,10655.302053803975
04-14 17:00,0,0.0,791.888,-348.354,0.9874035273,0.9875844767,0.9875161523,0.0703,0.0,11458.055344299111,153970.47907853776,-10666.16734429911,10666.16734429911
04-14 18:00,0,0.0,932.365,-275.5783,0.9991580735,0.9991462489,0.9991544512,0.0999,0.0,932.3649999999996,141909.3681898019,4.547473508864641e-13,10795.25282850627
04-14 19:00,0,0.0,1182.327,-126.81725,1.001799701,1.001795537,1.001802449,0.0999,0.0,1182.327,140927.93134769663,0.0,10826.660491261395
04-14 20:00,0,0.0,1233.716,-99.32545,1.002158227,1.002157602,1.002163723,0.0999,0.0,1233.716,139683.37661085452,0.0,10830.860968046773
04-14 21:00,0,0.0,1262.224,-85.5224,1.002407959,1.002410707,1.002415911,0.0999,0.0,1262.224,138384.72818980188,0.0,10833.684696214808
04-14 22:00,0,0.0,1284.459,-72.1589,1.002607186,1.002612599,1.002617387,0.0481,0.0,12120.39423938934,137056.07134769662,-10835.935239389339,10835.935239389339
04-14 23:00,0,0.0,1236.309,-101.08187,1.001970574,1.00197682,1.001981441,0.0481,0.0,12065.132232081352,124297.76162202362,-10828.823232081353,10828.823232081353
04-15 0:00,0,0.0,1194.862,-125.92971,1.001249358,1.001253605,1.001260558,0.0481,0.0,12015.629350473242,111597.62243035904,-10820.767350473241,10820.767350473241
04-15 1:00,0,0.0,1187.986,-130.04551,1.001271009,1.001275922,1.001282417,0.0481,0.0,12008.938689685792,98949.59153512405,-10820.952689685791,10820.952689685791
04-15 2:00,0,0.0,1245.149,-95.77363,1.002271768,1.00227768,1.002283468,0.0481,0.0,12077.275911946854,86308.60344071795,-10832.126911946854,10832.126911946856
04-15 3:00,0,0.0,1290.74,-68.3818,1.003365333,1.00337162,1.003376616,0.0481,0.0,12134.893947181485,73595.68142814231,-10844.153947181485,10844.153947181485
04-15 4:00,0,0.0,1351.087,-42.4061,1.004755262,1.004761799,1.004765755,0.0481,0.0,12210.396098279662,60822.10885216181,-10859.309098279662,10859.309098279662
04-15 5:00,0,0.0,1316.052,-63.5088,1.005243567,1.00524848,1.00525152,0.0481,0.0,12180.535875738235,47969.0603276569,-10864.483875738235,10864.483875738235
04-15 6:00,0,0.0,1115.434,-183.733,1.000326916,1.000408231,1.000381168,0.0481,0.0,11925.403038605986,35147.4436163535,-10809.969038605986,10809.969038605986
04-15 7:00,0,0.0,1179.105,-145.6839,0.998015378,0.9981964106,0.9981341234,0.0703,0.0,11964.668396929845,22594.38778624194,-10785.563396929845,10785.563396929845
04-15 8:00,1,-6736.97,-6736.97,535.59,0.9670590084,0.9671936587,0.9671390742,0.0703,6736.97,0.0,10000.0,0.0,10438.23926899992
04-15 9:00,1,-12687.36,-12687.36,2406.451,0.9524074824,0.9524930441,0.9524529904,0.0703,12687.36,0.0,16400.1215,0.0,10008.373977447052
04-15 10:00,1,-19406.19,-19406.19,6696.38,0.9462634902,0.9463152851,0.946291178,0.0703,19406.19,0.0,28453.1135,0.0,7730.095772460624
04-15 11:00,1,-16885.69,-16885.69,4693.79,0.9461148502,0.9461798854,0.9461482838,0.0703,16885.69,0.0,46888.99399999999,0.0,9084.677414376392
04-15 12:00,1,-17618.01,-17618.01,5226.0,0.9450207437,0.9450837804,0.9450538858,0.0703,17618.01,0.0,62930.39949999999,0.0,8775.548671471126
04-15 13:00,1,-19136.83,-19136.83,6316.5,0.9435944248,0.9436467611,0.9436226539,0.0703,19136.830000000005,0.0,79667.50899999999,3.637978807091713e-12,8006.7778606632055
04-15 14:00,1,-17464.12,-17464.12,5007.67,0.9430571144,0.9431091592,0.9430836364,0.0703,17464.12,0.0,97847.4975,0.0,8877.583564930164
04-15 15:00,1,-13759.73,-13759.73,2741.733,0.9455415248,0.9456092246,0.9455758743,0.0703,13759.73,0.0,114438.4115,0.0,9844.757026721281
04-15 16:00,1,-5319.51,-5319.51,-182.1064,0.9624417607,0.9625605894,0.9625094606,0.0703,5319.51,0.0,127510.155,0.0,10400.473532299296
04-15 17:00,0,0.0,259.6445,-644.436,0.983592849,0.9837204212,0.9836713326,0.0703,0.0,10870.762118831164,132563.6895,-10611.117618831164,10611.117618831164
04-15 18:00,0,0.0,469.001,-533.641,0.9934877722,0.9934639565,0.9934752814,0.0999,0.0,469.001,121120.78200649352,0.0,10724.086461130797
04-15 19:00,0,0.0,758.967,-367.7076,0.9966599233,0.9966442266,0.9966546772,0.0999,0.0,758.967,120627.0967433356,0.0,10765.449920970877
04-15 20:00,0,0.0,736.748,-380.754,0.9961780717,0.9961644568,0.9961741996,0.0999,0.0,736.748,119828.18411175665,0.0,10759.807795165643
04-15 21:00,0,0.0,735.941,-381.227,0.9960284326,0.9960173574,0.9960263924,0.0999,0.0,735.941,119052.65990123033,0.0,10758.200199239729
04-15 22:00,0,0.0,759.924,-367.1441,0.9962037611,0.9961957253,0.9962042607,0.0481,0.0,0.0,118277.98516438823,759.924,10760.61893314836
04-15 23:00,0,0.0,694.233,-405.683,0.9953027616,0.9952955169,0.9953035526,0.0481,0.0,11443.73154348136,118277.98516438823,-10749.49854348136,10749.49854348136
04-16 0:00,0,0.0,613.365,-452.963,0.9943836088,0.9943771136,0.994385649,0.0481,0.0,11351.040147099871,106231.95196072364,-10737.675147099872,10737.675147099872
04-16 1:00,0,0.0,565.795,-480.699,0.9939682914,0.9939616713,0.9939702482,0.0481,0.0,11297.769630312258,94283.48864798695,-10731.974630312257,10731.974630312257
04-16 2:00,0,0.0,617.599,-450.491,0.9949646369,0.9949589744,0.9949670102,0.0481,0.0,11138.817032425493,82391.09956344773,-10521.218032425493,10744.073420647464
04-16 3:00,0,0.0,643.679,-435.258,0.9959130596,0.9959073555,0.9959148916,0.0481,0.0,11398.638810731469,70666.02900299984,-10754.959810731469,10754.959810731469
04-16 4:00,0,0.0,668.659,-420.65,0.997061376,0.9970551723,0.9970622087,0.0481,0.0,11436.61514037232,58667.461833808826,-10767.95614037232,10767.95614037232
04-16 5:00,0,0.0,697.965,-403.493,0.9983749034,0.9983679919,0.9983743205,0.0481,0.0,11480.776583835035,46628.91958078533,-10782.811583835035,10782.811583835035
04-16 6:00,0,0.0,744.005,-376.491,0.9998409012,0.9998342395,0.9998396521,0.0481,0.0,11543.649986769804,34543.891597801085,-10799.644986769805,10799.644986769805
04-16 7:00,0,0.0,939.342,-271.4488,1.002695662,1.002693206,1.002696953,0.0703,0.0,11773.047031141228,22392.68108541182,-10833.705031141228,10833.705031141228
04-16 8:00,1,-5716.9,-5716.9,231.9098,0.974174906,0.9741215289,0.9741382665,0.0703,5716.9,0.0,10000.0,0.0,10525.748120018232
04-16 9:00,1,-11706.35,-11706.35,1852.036,0.9568435726,0.9567315722,0.9567655887,0.0703,11706.35,0.0,15431.055,0.0,10173.143178580172
04-16 10:00,1,-11970.19,-11970.19,1945.011,0.956051659,0.9559362445,0.9559707189,0.0703,11970.19,0.0,26552.0875,0.0,10147.024998732388
04-16 11:00,1,-8215.46,-8215.46,689.597,0.9648572221,0.9647720768,0.9647967669,0.0703,8215.46,0.0,37923.768,0.0,10404.425824419426
04-16 12:00,1,-8490.0,-8490.0,791.406,0.963470832,0.9633823975,0.9634077121,0.0703,8490.0,0.0,45728.454999999994,0.0,10382.11421112027
04-16 13:00,1,-6917.04,-6917.04,324.2997,0.9666874502,0.9666100909,0.9666317415,0.0703,6917.04,0.0,53793.954999999994,0.0,10442.084328138604
04-16 14:00,1,-5757.11,-5757.11,51.43809,0.9691200656,0.9690512,0.9690702275,0.0703,5757.11,0.0,60365.143,0.0,10473.376186792993
04-16 15:00,1,-7535.19,-7535.19,394.082,0.9619464608,0.9618639802,0.9618867134,0.0703,7535.19,0.0,65834.39749999999,0.0,10388.350988832084
04-16 16:00,0,0.0,515.685,-506.538,0.9951303476,0.9951065735,0.9951175237,0.0703,0.0,0.0,72992.828,515.685,10743.173958737592
04-16 17:00,0,0.0,549.015,-487.157,0.9949810414,0.9949587663,0.9949702578,0.0703,0.0,11291.486107445204,72992.828,-10742.471107445204,10742.471107445204
04-16 18:00,0,0.0,645.199,-431.069,0.9957968124,0.9957772435,0.9957889016,0.0999,0.0,645.199,61107.05315005768,0.0,10753.721144974008
04-16 19:00,0,0.0,831.344,-325.1099,0.9977034006,0.9976899939,0.9977008192,0.0999,0.0,831.344,60427.89630795242,0.0,10778.1283310174
04-16 20:00,0,0.0,851.939,-316.232,0.9976897857,0.9976789188,0.9976891612,0.0999,0.0,851.939,59552.797360583994,0.0,10778.272711967873
04-16 21:00,0,0.0,891.173,-293.0651,0.9980137542,0.9980064262,0.9980158776,0.0999,0.0,891.1730000000001,58656.01946584715,-1.1368683772161603e-13,10782.468512607258
04-16 22:00,0,0.0,931.505,-279.3903,0.9982808897,0.9982768094,0.9982856778,0.0481,0.0,0.0,57717.94262374189,931.505,10785.75479438974
04-16 23:00,0,0.0,926.746,-282.2077,0.9980971924,0.9980952771,0.9981036043,0.0481,0.0,11710.464773084252,57717.94262374189,-10783.718773084252,10783.718773084252
04-17 0:00,0,0.0,908.965,-292.7263,0.9981133471,0.9981158036,0.9981222988,0.0481,0.0,0.0,45391.13759944268,908.965,10783.633742293256
04-17 1:00,0,0.0,922.017,-285.0039,0.9983132824,0.9983166549,0.9983229835,0.0481,0.0,0.0,45391.13759944268,922.017,10786.002257554457
04-17 2:00,0,0.0,972.53,-255.0837,0.9991811814,0.999185678,0.9991915487,0.0481,0.0,0.0,45391.13759944268,972.53,10796.134198778911
04-17 3:00,0,0.0,1030.163,-220.864,1.000378545,1.000383499,1.000388829,0.0481,0.0,11839.995266742164,45391.13759944268,-10809.832266742163,10809.832266742163
04-17 4:00,0,0.0,1093.241,-183.3126,1.001855659,1.001860989,1.001865485,0.0481,0.0,9907.45077679317,32927.984687082506,-8814.20977679317,10826.50119749506
04-17 5:00,0,0.0,1044.489,-212.3435,1.002195616,1.002198988,1.002202902,0.0481,0.0,11874.134675935213,22499.089132563382,-10829.645675935213,10829.645675935213
04-17 6:00,1,-4346.76,-4346.76,-44.27782,0.9772619119,0.9772278538,0.9772400531,0.0481,4346.76,0.0,10000.0,0.0,10561.782938696851
04-17 7:00,1,-9286.73,-9286.73,1106.814,0.9621553061,0.9620914368,0.9621112971,0.0703,9286.73,0.0,14129.421999999999,0.0,10339.207844480421
04-17 8:00,1,-14056.6,-14056.6,3151.676,0.9528574825,0.9527849945,0.9528062288,0.0703,14056.6,0.0,22951.815499999997,0.0,9803.54579345205
04-17 9:00,1,-17716.37,-17716.37,5368.74,0.9483865015,0.9483113904,0.9483337489,0.0703,17716.37,0.0,36305.5855,0.0,8730.735283083472
04-17 10:00,1,-20072.75,-20072.75,7296.26,0.9475128984,0.9474483628,0.9474686811,0.0703,20072.75,0.0,53136.137,0.0,7184.885606609098
04-17 11:00,1,-21215.37,-21215.37,8363.5,0.9474430334,0.9474004816,0.9474142214,0.0703,21215.37,0.0,72205.2495,0.0,5907.559628848699
04-17 12:00,1,-21334.84,-21334.84,8363.68,0.946709868,0.9466430841,0.946665276,0.0703,21334.84,0.0,92359.851,0.0,5893.104172743956
04-17 13:00,1,-20124.9,-20124.9,7118.43,0.9452384991,0.9451401553,0.9451713822,0.0703,20124.9,0.0,112627.949,0.0,7326.366787373929
04-17 14:00,1,-17505.7,-17505.7,5066.88,0.9451829153,0.9450739543,0.945106347,0.0703,17505.7,0.0,131746.604,0.0,8869.03634975148
04-17 15:00,1,-13759.29,-13759.29,2779.358,0.9480151098,0.9479210128,0.9479462441,0.0703,13759.29,0.0,148377.019,0.0,9860.923212067912
04-17 16:00,1,-9249.27,-9249.27,885.917,0.9553753265,0.9553242809,0.955334565,0.0703,9249.27,0.0,161448.3445,0.0,10287.065100326816
04-17 17:00,0,0.0,281.3523,-631.963,0.9901776399,0.990183344,0.9901809707,0.0703,0.0,10964.513721073223,170235.151,-10683.161421073222,10683.161421073222
04-17 18:00,0,0.0,500.287,-515.488,0.9943899375,0.994370785,0.9943809858,0.0999,0.0,500.287,158693.5576093966,0.0,10734.786675157744
04-17 19:00,0,0.0,832.548,-324.4102,0.998118843,0.9981086839,0.9981175939,0.0999,0.0,832.5480000000002,158166.93971465976,-2.2737367544323206e-13,10782.676662675927
04-17 20:00,0,0.0,828.894,-326.5629,0.9978715261,0.9978638235,0.9978720674,0.0999,0.0,828.8939999999998,157290.5733988703,2.2737367544323206e-13,10779.964016722846
04-17 21:00,0,0.0,839.423,-320.3583,0.9978368851,0.997832097,0.9978396331,0.0999,0.0,839.423,156418.0533988703,0.0,10779.807137314698
04-17 22:00,0,0.0,859.67,-311.6829,0.9978680704,0.9978660718,0.9978730667,0.0481,0.0,11640.09881514095,155534.45024097557,-10780.42881514095,10780.42881514095
04-17 23:00,0,0.0,873.612,-303.4511,0.9978753983,0.9978756897,0.997882518,0.0481,0.0,11654.376507587855,143281.71464609035,-10780.764507587855,10780.764507587855
04-18 0:00,0,0.0,878.911,-300.3206,0.9981437412,0.998149029,0.9981526929,0.0481,0.0,11662.664542380022,131013.94990126103,-10783.753542380022,10783.753542380022
04-18 1:00,0,0.0,838.429,-324.2115,0.9976775031,0.9976825827,0.9976864548,0.0481,0.0,11616.449331155363,118737.46090928206,-10778.020331155363,10778.020331155363
04-18 2:00,0,0.0,906.463,-294.2053,0.9986445787,0.998650949,0.9986545713,0.0481,0.0,11695.800177584002,106509.6195080659,-10789.337177584002,10789.337177584002
04-18 3:00,0,0.0,960.295,-262.3377,0.9997759493,0.9997828609,0.9997860252,0.0481,0.0,11762.685513946133,94198.25090008274,-10802.390513946133,10802.390513946133
04-18 4:00,0,0.0,1002.299,-237.4192,1.00099463,1.001001667,1.001004082,0.0481,0.0,11818.440581710107,81816.47667487629,-10816.141581710108,10816.141581710108
04-18 5:00,0,0.0,1051.125,-208.3964,1.00243369,1.002440518,1.002442433,0.0481,0.0,11883.420928900527,69376.01290465513,-10832.295928900527,10832.295928900527
04-18 6:00,0,0.0,1127.456,-162.9016,1.004136346,1.004145089,1.00414563,0.0481,0.0,11978.935990158774,56867.14876897037,-10851.479990158774,10851.479990158774
04-18 7:00,0,0.0,1162.529,-141.9463,1.004958362,1.00497485,1.00497181,0.0703,0.0,12023.188438044768,44257.74246354008,-10860.659438044768,10860.659438044768
04-18 8:00,1,-5632.28,-5632.28,295.197,0.973999869,0.9740008682,0.9739979537,0.0703,5632.28,0.0,31601.75463401928,0.0,10522.827231603895
04-18 9:00,1,-8489.46,-8489.46,890.552,0.9640837948,0.9640870424,0.9640807138,0.0703,8489.46,0.0,36952.420634019276,0.0,10381.655149825261
04-18 10:00,1,-9688.57,-9688.57,1245.401,0.9608519379,0.9608425698,0.9608394472,0.0703,9688.57,0.0,45017.40763401928,0.0,10309.80149398617
04-18 11:00,1,-9096.25,-9096.25,1059.648,0.9612379021,0.9612652569,0.9612480613,0.0703,9096.25,0.0,54221.549134019275,0.0,10334.874890207346
04-18 12:00,1,-6653.7,-6653.7,417.164,0.9664009957,0.9664949261,0.9664535401,0.0703,6653.7,0.0,62862.986634019275,0.0,10436.525083611492
04-18 13:00,1,-6299.68,-6299.68,241.1292,0.9663310891,0.9663896291,0.9663611085,0.0703,6299.68,0.0,69184.00163401928,0.0,10441.319632600027
04-18 14:00,1,-7770.37,-7770.37,441.112,0.9602909366,0.9603130869,0.960296724,0.0703,7770.37,0.0,75168.69763401928,0.0,10369.44347586689
04-18 15:00,1,-8473.81,-8473.81,542.664,0.9562365221,0.956279532,0.956254717,0.0703,8473.81,0.0,82550.54913401928,0.0,10320.744729964135
04-18 16:00,1,-7468.86,-7468.86,259.2516,0.9576518908,0.9577112635,0.9576805779,0.0703,7468.86,0.0,90600.66863401928,0.0,10347.05145754233
04-18 17:00,0,0.0,286.0871,-629.237,0.9850749183,0.9852024905,0.9851531936,0.0703,0.0,1441.0354779423687,97696.08563401928,-1154.9483779423688,10628.076054666191
04-18 18:00,0,0.0,454.643,-538.468,0.9941247172,0.9941078547,0.9941152659,0.0999,0.0,454.643,96179.20618355363,0.0,10730.813187540965
04-18 19:00,0,0.0,740.119,-382.04,0.9972723864,0.9972635596,0.9972697634,0.0999,0.0,740.119,95700.63460460625,0.0,10771.648788125318
04-18 20:00,0,0.0,716.893,-395.669,0.9967980294,0.996791326,0.9967967803,0.0999,0.0,716.893,94921.5619730273,0.0,10766.049429133438
04-18 21:00,0,0.0,677.236,-418.904,0.9961512999,0.9961465534,0.9961512166,0.0999,0.0,677.2360000000001,94166.93776250098,-1.1368683772161603e-13,10758.196420589305
04-18 22:00,0,0.0,659.466,-429.304,0.995764961,0.9957622546,0.9957665848,0.0481,0.0,11413.095621895296,93454.05776250098,-10753.629621895296,10753.629621895296
04-18 23:00,0,0.0,620.092,-452.312,0.9951216873,0.9951202717,0.9951244353,0.0481,0.0,11365.833757539178,81440.27289734804,-10745.741757539177,10745.741757539177
04-19 0:00,0,0.0,555.76,-489.825,0.9943364771,0.994336144,0.9943388087,0.0481,0.0,0.0,69476.23736309628,555.76,10735.613488841862
04-19 1:00,0,0.0,535.408,-501.668,0.9942009108,0.9942010773,0.9942039086,0.0481,0.0,0.0,69476.23736309628,535.408,10733.603396460176
04-19 2:00,0,0.0,558.802,-488.052,0.9948091271,0.9948096267,0.9948125412,0.0481,0.0,11299.613514465136,69476.23736309628,-10740.811514465136,10740.811514465136
04-19 3:00,0,0.0,571.198,-480.832,0.9955479134,0.9955480383,0.9955508695,0.0481,0.0,11320.327943389828,57581.90734786982,-10749.129943389828,10749.129943389828
04-19 4:00,0,0.0,571.791,-480.485,0.9963785899,0.9963777989,0.9963804219,0.0481,0.0,11329.914808695159,45665.77267061737,-10758.12380869516,10758.12380869516
04-19 5:00,0,0.0,560.728,-486.93,0.9972175104,0.9972153453,0.9972177186,0.0481,0.0,0.0,33739.546556201414,560.728,10766.895483458764
04-19 6:00,0,0.0,518.721,-511.373,0.9954015634,0.9954549822,0.9954365375,0.0481,0.0,11264.857758115279,33739.546556201414,-10746.136758115279,10746.136758115279
04-19 7:00,0,0.0,563.142,-485.523,0.9932972882,0.9934468858,0.9933940499,0.0703,0.0,11287.711470276066,21881.801547659015,-10724.569470276067,10724.569470276067
04-19 8:00,1,-9606.21,-9606.21,1008.619,0.9577122627,0.9577983656,0.9577594361,0.0703,9606.21,0.0,10000.0,0.0,10301.693090046432
04-19 9:00,1,-10984.02,-10984.02,1323.548,0.9538238503,0.9538965881,0.9538605315,0.0703,10984.02,0.0,19125.8995,0.0,10223.6080990688
04-19 10:00,1,-14719.71,-14719.71,3169.128,0.9480224794,0.9480767309,0.9480470029,0.0703,14719.71,0.0,29560.7185,0.0,9743.805060727795
04-19 11:00,1,-9729.73,-9729.73,921.692,0.9560824279,0.9561940536,0.9561424251,0.0703,9729.73,0.0,43544.443,0.0,10292.148355879064
04-19 12:00,1,-8150.91,-8150.91,428.696,0.9589298195,0.9590630958,0.9590036398,0.0703,8150.91,0.0,52787.686499999996,0.0,10355.240668604465
04-19 13:00,1,-8122.4,-8122.4,422.27,0.9581349497,0.958252113,0.9581988191,0.0703,8122.4,0.0,60531.05099999999,0.0,10346.90660510014
04-19 14:00,1,-5843.59,-5843.59,-131.1445,0.963467293,0.96358837,0.9635347014,0.0703,5843.59,0.0,68247.33099999999,0.0,10412.325792487816
04-19 15:00,1,-5139.99,-5139.99,-259.4458,0.9647617095,0.9648708787,0.9648220815,0.0703,5139.99,0.0,73798.74149999999,0.0,10423.913464019577
04-19 16:00,0,0.0,223.3736,-665.251,0.9858495114,0.9859611787,0.9859166283,0.0703,0.0,10857.644373476747,78681.73199999999,-10634.270773476746,10634.270773476746
04-19 17:00,0,0.0,158.4298,-702.436,0.9869093932,0.9869598142,0.9869371227,0.0703,0.0,10801.789246385315,67252.63265949815,-10643.359446385315,10643.359446385315
04-19 18:00,0,0.0,341.5377,-597.315,0.9928461639,0.9928283854,0.9928341728,0.0999,0.0,341.5377,55882.32818961888,0.0,10713.84851252569
04-19 19:00,0,0.0,714.263,-393.94,0.9970078323,0.9969996717,0.9970042517,0.0999,0.0,714.263,55522.814821197826,0.0,10768.366139875907
04-19 20:00,0,0.0,832.444,-324.4715,0.9982661506,0.9982631112,0.998266567,0.0999,0.0,832.444,54770.95903172414,0.0,10784.344623410781
04-19 21:00,0,0.0,872.468,-304.1258,0.9985575598,0.9985578929,0.998560516,0.0999,0.0,872.4680000000001,53894.702189618874,-1.1368683772161603e-13,10788.121225924237
04-19 22:00,0,0.0,904.527,-295.35,0.9987087395,0.9987118622,0.9987141106,0.0481,0.0,0.0,52976.31482119782,904.527,10789.99961245055
04-19 23:00,0,0.0,864.393,-319.0589,0.9980575551,0.9980619268,0.9980638837,0.0481,0.0,0.0,52976.31482119782,864.393,10782.28349231111
04-20 0:00,0,0.0,813.528,-349.0477,0.9971068424,0.9971093821,0.9971119219,0.0481,0.0,0.0,52976.31482119782,813.528,10771.073659957197
04-20 1:00,0,0.0,795.961,-359.3856,0.9969848494,0.9969878055,0.9969903453,0.0481,0.0,11565.375449412493,52976.31482119782,-10769.414449412494,10769.414449412494
04-20 2:00,0,0.0,847.763,-328.87,0.9979169925,0.9979209479,0.9979231546,0.0481,0.0,0.0,40802.23540076362,847.763,10780.468797205936
04-20 3:00,0,0.0,878.02,-311.0136,0.9988499683,0.9988538821,0.9988557973,0.0481,0.0,5742.779852213203,40802.23540076362,-4864.759852213203,10791.08651564468
04-20 4:00,0,0.0,887.02,-305.6964,0.999765124,0.9997684549,0.9997697039,0.0481,0.0,0.0,34757.203977381294,887.02,10801.133417784553
04-20 5:00,0,0.0,915.203,-289.0367,1.001029521,1.001032103,1.001032935,0.0481,0.0,11730.465551545067,34757.203977381294,-10815.262551545067,10815.262551545067
04-20 6:00,0,0.0,957.538,-263.9719,1.00245738,1.002459712,1.00245992,0.0481,0.0,11788.878226967161,22409.345502070697,-10831.34022696716,10831.34022696716
04-20 7:00,1,-7742.91,-7742.91,701.823,0.9676338328,0.967568756,0.9675869509,0.0703,7742.91,0.0,10000.0,0.0,10433.903280071509
04-20 8:00,1,-11343.65,-11343.65,1883.648,0.9590032235,0.9589035057,0.9589319846,0.0703,11343.65,0.0,17355.764499999997,0.0,10191.210171658297
