Time_stamp,RPF_Flag,Total_RPF,P (kW),Q (kvar),V1,V2,V3,EnergyCost_USD_per_kWh
04-16 22:00,0,0,931.505,-279.3903,0.9982808897,0.9982768094,0.9982856778,0.0481
04-16 23:00,0,0,926.746,-282.2077,0.9980971924,0.9980952771,0.9981036043,0.0481
04-17 0:00,0,0,908.965,-292.7263,0.9981133471,0.9981158036,0.9981222988,0.0481
04-17 1:00,0,0,922.017,-285.0039,0.9983132824,0.9983166549,0.9983229835,0.0481
04-17 2:00,0,0,972.53,-255.0837,0.9991811814,0.999185678,0.9991915487,0.0481
04-17 3:00,0,0,1030.163,-220.864,1.000378545,1.000383499,1.000388829,0.0481
04-17 4:00,0,0,1093.241,-183.3126,1.001855659,1.001860989,1.001865485,0.0481
04-17 5:00,0,0,1044.489,-212.3435,1.002195616,1.002198988,1.002202902,0.0481
04-17 6:00,1,-4346.76,-4346.76,-44.27782,0.9772619119,0.9772278538,0.9772400531,0.0481
04-17 7:00,1,-9286.73,-9286.73,1106.814,0.9621553061,0.9620914368,0.9621112971,0.0703
04-17 8:00,1,-14056.6,-14056.6,3151.676,0.9528574825,0.9527849945,0.9528062288,0.0703
04-17 9:00,1,-17716.37,-17716.37,5368.74,0.9483865015,0.9483113904,0.9483337489,0.0703
04-17 10:00,1,-20072.75,-20072.75,7296.26,0.9475128984,0.9474483628,0.9474686811,0.0703
04-17 11:00,1,-21215.37,-21215.37,8363.5,0.9474430334,0.9474004816,0.9474142214,0.0703
04-17 12:00,1,-21334.84,-21334.84,8363.68,0.946709868,0.9466430841,0.946665276,0.0703
04-17 13:00,1,-20124.9,-20124.9,7118.43,0.9452384991,0.9451401553,0.9451713822,0.0703
04-17 14:00,1,-17505.7,-17505.7,5066.88,0.9451829153,0.9450739543,0.945106347,0.0703
04-17 15:00,1,-13759.29,-13759.29,2779.358,0.9480151098,0.9479210128,0.9479462441,0.0703
04-17 16:00,1,-9249.27,-9249.27,885.917,0.9553753265,0.9553242809,0.955334565,0.0703
04-17 17:00,0,0,281.3523,-631.963,0.9901776399,0.990183344,0.9901809707,0.0703
04-17 18:00,0,0,500.287,-515.488,0.9943899375,0.994370785,0.9943809858,0.0999
04-17 19:00,0,0,832.548,-324.4102,0.998118843,0.9981086839,0.9981175939,0.0999
04-17 20:00,0,0,828.894,-326.5629,0.9978715261,0.9978638235,0.9978720674,0.0999
04-17 21:00,0,0,839.423,-320.3583,0.9978368851,0.997832097,0.9978396331,0.0999
04-17 22:00,0,0,859.67,-311.6829,0.9978680704,0.9978660718,0.9978730667,0.0481
04-17 23:00,0,0,873.612,-303.4511,0.9978753983,0.9978756897,0.997882518,0.0481
04-18 0:00,0,0,878.911,-300.3206,0.9981437412,0.998149029,0.9981526929,0.0481
04-18 1:00,0,0,838.429,-324.2115,0.9976775031,0.9976825827,0.9976864548,0.0481
04-18 2:00,0,0,906.463,-294.2053,0.9986445787,0.998650949,0.9986545713,0.0481
04-18 3:00,0,0,960.295,-262.3377,0.9997759493,0.9997828609,0.9997860252,0.0481
04-18 4:00,0,0,1002.299,-237.4192,1.00099463,1.001001667,1.001004082,0.0481
04-18 5:00,0,0,1051.125,-208.3964,1.00243369,1.002440518,1.002442433,0.0481
04-18 6:00,0,0,1127.456,-162.9016,1.004136346,1.004145089,1.00414563,0.0481
04-18 7:00,0,0,1162.529,-141.9463,1.004958362,1.00497485,1.00497181,0.0703
04-18 8:00,1,-5632.28,-5632.28,295.197,0.973999869,0.9740008682,0.9739979537,0.0703
04-18 9:00,1,-8489.46,-8489.46,890.552,0.9640837948,0.9640870424,0.9640807138,0.0703
04-18 10:00,1,-9688.57,-9688.57,1245.401,0.9608519379,0.9608425698,0.9608394472,0.0703
04-18 11:00,1,-9096.25,-9096.25,1059.648,0.9612379021,0.9612652569,0.9612480613,0.0703
04-18 12:00,1,-6653.7,-6653.7,417.164,0.9664009957,0.9664949261,0.9664535401,0.0703
04-18 13:00,1,-6299.68,-6299.68,241.1292,0.9663310891,0.9663896291,0.9663611085,0.0703
04-18 14:00,1,-7770.37,-7770.37,441.112,0.9602909366,0.9603130869,0.960296724,0.0703
04-18 15:00,1,-8473.81,-8473.81,542.664,0.9562365221,0.956279532,0.956254717,0.0703
04-18 16:00,1,-7468.86,-7468.86,259.2516,0.9576518908,0.9577112635,0.9576805779,0.0703
04-18 17:00,0,0,286.0871,-629.237,0.9850749183,0.9852024905,0.9851531936,0.0703
04-18 18:00,0,0,454.643,-538.468,0.9941247172,0.9941078547,0.9941152659,0.0999
04-18 19:00,0,0,740.119,-382.04,0.9972723864,0.9972635596,0.9972697634,0.0999
04-18 20:00,0,0,716.893,-395.669,0.9967980294,0.996791326,0.9967967803,0.0999
04-18 21:00,0,0,677.236,-418.904,0.9961512999,0.9961465534,0.9961512166,0.0999
04-18 22:00,0,0,659.466,-429.304,0.995764961,0.9957622546,0.9957665848,0.0481
04-18 23:00,0,0,620.092,-452.312,0.9951216873,0.9951202717,0.9951244353,0.0481
04-19 0:00,0,0,555.76,-489.825,0.9943364771,0.994336144,0.9943388087,0.0481
04-19 1:00,0,0,535.408,-501.668,0.9942009108,0.9942010773,0.9942039086,0.0481
04-19 2:00,0,0,558.802,-488.052,0.9948091271,0.9948096267,0.9948125412,0.0481
04-19 3:00,0,0,571.198,-480.832,0.9955479134,0.9955480383,0.9955508695,0.0481
04-19 4:00,0,0,571.791,-480.485,0.9963785899,0.9963777989,0.9963804219,0.0481
04-19 5:00,0,0,560.728,-486.93,0.9972175104,0.9972153453,0.9972177186,0.0481
04-19 6:00,0,0,518.721,-511.373,0.9954015634,0.9954549822,0.9954365375,0.0481
04-19 7:00,0,0,563.142,-485.523,0.9932972882,0.9934468858,0.9933940499,0.0703
04-19 8:00,1,-9606.21,-9606.21,1008.619,0.9577122627,0.9577983656,0.9577594361,0.0703
04-19 9:00,1,-10984.02,-10984.02,1323.548,0.9538238503,0.9538965881,0.9538605315,0.0703
04-19 10:00,1,-14719.71,-14719.71,3169.128,0.9480224794,0.9480767309,0.9480470029,0.0703
04-19 11:00,1,-9729.73,-9729.73,921.692,0.9560824279,0.9561940536,0.9561424251,0.0703
04-19 12:00,1,-8150.91,-8150.91,428.696,0.9589298195,0.9590630958,0.9590036398,0.0703
04-19 13:00,1,-8122.4,-8122.4,422.27,0.9581349497,0.958252113,0.9581988191,0.0703
04-19 14:00,1,-5843.59,-5843.59,-131.1445,0.963467293,0.96358837,0.9635347014,0.0703
04-19 15:00,1,-5139.99,-5139.99,-259.4458,0.9647617095,0.9648708787,0.9648220815,0.0703
04-19 16:00,0,0,223.3736,-665.251,0.9858495114,0.9859611787,0.9859166283,0.0703
04-19 17:00,0,0,158.4298,-702.436,0.9869093932,0.9869598142,0.9869371227,0.0703
04-19 18:00,0,0,341.5377,-597.315,0.9928461639,0.9928283854,0.9928341728,0.0999
04-19 19:00,0,0,714.263,-393.94,0.9970078323,0.9969996717,0.9970042517,0.0999
04-19 20:00,0,0,832.444,-324.4715,0.9982661506,0.9982631112,0.998266567,0.0999
04-19 21:00,0,0,872.468,-304.1258,0.9985575598,0.9985578929,0.998560516,0.0999
04-19 22:00,0,0,904.527,-295.35,0.9987087395,0.9987118622,0.9987141106,0.0481
04-19 23:00,0,0,864.393,-319.0589,0.9980575551,0.9980619268,0.9980638837,0.0481
04-20 0:00,0,0,813.528,-349.0477,0.9971068424,0.9971093821,0.9971119219,0.0481
04-20 1:00,0,0,795.961,-359.3856,0.9969848494,0.9969878055,0.9969903453,0.0481
04-20 2:00,0,0,847.763,-328.87,0.9979169925,0.9979209479,0.9979231546,0.0481
04-20 3:00,0,0,878.02,-311.0136,0.9988499683,0.9988538821,0.9988557973,0.0481
04-20 4:00,0,0,887.02,-305.6964,0.999765124,0.9997684549,0.9997697039,0.0481
04-20 5:00,0,0,915.203,-289.0367,1.001029521,1.001032103,1.001032935,0.0481
04-20 6:00,0,0,957.538,-263.9719,1.00245738,1.002459712,1.00245992,0.0481
04-20 7:00,1,-7742.91,-7742.91,701.823,0.9676338328,0.967568756,0.9675869509,0.0703
04-20 8:00,1,-11343.65,-11343.65,1883.648,0.9590032235,0.9589035057,0.9589319846,0.0703
04-20 9:00,1,-5722.95,-5722.95,167.5356,0.9743320397,0.9742779547,0.9742914864,0.0703
04-20 10:00,1,-21036.49,-21036.49,7754.94,0.9499797384,0.9498150687,0.9498667387,0.0703
04-20 11:00,1,-10040.4,-10040.4,1357.762,0.9612431066,0.9611500921,0.9611744907,0.0703
04-20 12:00,1,-7691.13,-7691.13,675.69,0.9669920164,0.9669185291,0.9669363909,0.0703
04-20 13:00,1,-13869.21,-13869.21,3021.951,0.9520187702,0.9519014404,0.9519333751,0.0703
04-20 14:00,1,-7997.94,-7997.94,709.338,0.9632225992,0.9631523595,0.9631683477,0.0703
04-20 15:00,0,0,877.308,-304.815,1.000280159,1.000270292,1.000274455,0.0703
04-20 16:00,0,0,956.166,-258.1806,1.000715795,1.000706677,1.000712048,0.0703
04-20 17:00,0,0,1050.79,-205.3006,1.001322721,1.00131635,1.00132193,0.0703
04-20 18:00,0,0,1211.02,-109.63551,1.002859624,1.002857834,1.00286283,0.0999
04-20 19:00,0,0,1415.3,3.0132,1.004830415,1.004835536,1.004839034,0.0999
04-20 20:00,0,0,1388.249,-13.3243,1.004334241,1.004341069,1.0043439,0.0999
04-20 21:00,0,0,1383.104,-16.4291,1.004181978,1.004191013,1.004193262,0.0999
04-20 22:00,0,0,1393.887,-9.9199,1.004238395,1.004249762,1.004251594,0.0481
04-20 23:00,0,0,1388.902,-12.9293,1.004101163,1.004114154,1.004115986,0.0481
04-21 0:00,0,0,1344.968,-39.4251,1.003196875,1.003206326,1.003210614,0.0481
04-21 1:00,0,0,1336.86,-44.3066,1.003192586,1.003202662,1.003206659,0.0481
04-21 2:00,0,0,1397.601,-7.676,1.004210957,1.004222032,1.004225363,0.0481
04-21 3:00,0,0,1464.382,32.705,1.005526816,1.005538599,1.005541139,0.0481
04-21 4:00,0,0,1504.923,57.27575,1.006731965,1.006743707,1.006745372,0.0481
04-21 5:00,0,0,1435.515,15.23282,1.006788673,1.006798125,1.006798957,0.0481
04-21 6:00,1,-4587.61,-4587.61,247.155,0.9781199016,0.9781075357,0.9781096591,0.0481
04-21 7:00,1,-9594.55,-9594.55,1440.827,0.9624545429,0.9624248565,0.9624301443,0.0703
04-21 8:00,1,-14197.19,-14197.19,3414.23,0.9538031157,0.9537381637,0.9537541935,0.0703
04-21 9:00,1,-17810.91,-17810.91,5665.77,0.9507468371,0.9506457869,0.9506751401,0.0703
04-21 10:00,1,-20128.69,-20128.69,7631.99,0.9513174562,0.9511948387,0.9512336016,0.0703
04-21 11:00,1,-21314.86,-21314.86,8716.88,0.9511070703,0.9509896573,0.951027879,0.0703
04-21 12:00,1,-21306.74,-21306.74,8562.09,0.9485888516,0.948493339,0.9485236083,0.0703
04-21 13:00,1,-20297.75,-20297.75,7423.3,0.9463519663,0.9462414648,0.9462753147,0.0703
04-21 14:00,1,-17575.74,-17575.74,5217.84,0.9458453415,0.9457263046,0.9457602794,0.0703
04-21 15:00,1,-14034.88,-14034.88,2965.542,0.947399066,0.9473056352,0.9473288263,0.0703
04-21 16:00,1,-9461.27,-9461.27,1013.011,0.9553717458,0.9553039627,0.9553182021,0.0703
04-21 17:00,1,-4694.68,-4694.68,-160.178,0.9688765793,0.9688405226,0.9688456855,0.0703
04-21 18:00,0,0,751.26,-372.231,0.9970476778,0.9970321477,0.9970405581,0.0999
04-21 19:00,0,0,1088.802,-182.6797,1.000702596,1.000696518,1.000703596,0.0999
04-21 20:00,0,0,1127.975,-159.3138,1.000964652,1.000961904,1.000968108,0.0999
04-21 21:00,0,0,1149.998,-146.1596,1.001119038,1.001119121,1.001124867,0.0999
04-21 22:00,0,0,1205.149,-113.16906,1.0016999,1.001703564,1.001708518,0.0481
04-21 23:00,0,0,1192.421,-120.791027,1.001475649,1.001480812,1.0014856,0.0481
04-22 0:00,0,0,1151.436,-145.3073,1.000755849,1.000759096,1.000766216,0.0481
04-22 1:00,0,0,1144.486,-149.4579,1.000776458,1.000780372,1.000786951,0.0481
04-22 2:00,0,0,1220.421,-104.01653,1.002006548,1.002011835,1.002017831,0.0481
04-22 3:00,0,0,1268.616,-81.6987,1.003104401,1.003110272,1.003115268,0.0481
04-22 4:00,0,0,1317.995,-55.2716,1.004403065,1.004408977,1.004412932,0.0481
04-22 5:00,0,0,1233.52,-106.05566,1.004329577,1.004332575,1.004335989,0.0481
04-22 6:00,1,-4778.92,-4778.92,126.4279,0.975707771,0.9756937813,0.9756973204,0.0481
04-22 7:00,1,-9824.92,-9824.92,1354.757,0.9599669682,0.959949273,0.9599508551,0.0703
04-22 8:00,1,-14519.1,-14519.1,3438.16,0.9513642132,0.9513174562,0.951327657,0.0703
04-22 9:00,1,-17790.4,-17790.4,5411.4,0.9470924597,0.9470581517,0.9470639391,0.0703
04-22 10:00,1,-20330.67,-20330.67,7498.96,0.9462451704,0.9462408819,0.9462380923,0.0703
04-22 11:00,1,-21572.06,-21572.06,8650.96,0.9465979508,0.9465896237,0.9465899151,0.0703
04-22 12:00,1,-21514.96,-21514.96,8506.68,0.945418699,0.9453914692,0.9453985889,0.0703
04-22 13:00,1,-20049.48,-20049.48,7049.45,0.9435822255,0.9435428797,0.943552331,0.0703
04-22 14:00,1,-17190.51,-17190.51,4833.18,0.9436283581,0.9435938003,0.9435988799,0.0703
04-22 15:00,1,-14025.48,-14025.48,2918.872,0.9455100897,0.945509715,0.9455010547,0.0703
04-22 16:00,1,-9693.57,-9693.57,1027.742,0.9517359796,0.9518045955,0.9517704125,0.0703
04-22 17:00,1,-4820.59,-4820.59,-278.6041,0.9632066526,0.9633109504,0.963265609,0.0703
04-22 18:00,0,0,424.085,-556.172,0.9929228155,0.9928977924,0.9929092838,0.0999
04-22 19:00,0,0,758.199,-371.4312,0.9965998011,0.9965837297,0.9965942219,0.0999
04-22 20:00,0,0,781.933,-357.4795,0.9966757449,0.9966628378,0.9966726639,0.0999
04-22 21:00,0,0,805.646,-343.526,0.9968260503,0.9968163075,0.9968253425,0.0999
04-22 22:00,0,0,829.281,-329.6042,0.9969993803,0.9969925936,0.9970010041,0.0481
04-22 23:00,0,0,837.844,-324.5558,0.9970040435,0.9969995052,0.997007416,0.0481
04-23 0:00,0,0,837.656,-324.6662,0.9970413492,0.9970392258,0.9970474697,0.0481
04-23 1:00,0,0,838.291,-324.2929,0.997149644,0.9971481867,0.9971560143,0.0481
04-23 2:00,0,0,920.082,-286.1501,0.9983669926,0.9983669926,0.9983743205,0.0481
04-23 3:00,0,0,995.521,-241.4437,0.9998321577,0.9998331986,0.999839777,0.0481
04-23 4:00,0,0,1048.536,-209.9369,1.00124278,1.001243862,1.001249566,0.0481
04-23 5:00,0,0,1014.965,-229.8955,1.001793081,1.00179229,1.001797452,0.0481
04-23 6:00,1,-5021.62,-5021.62,58.08893,0.974668832,0.9746211589,0.9746376051,0.0481
04-23 7:00,1,-10125.6,-10125.6,1384.067,0.9604625596,0.9603694202,0.9603987735,0.0703
04-23 8:00,1,-14753.6,-14753.6,3517.86,0.9531300724,0.9529978369,0.9530396393,0.0703
04-23 9:00,1,-18046.76,-18046.76,5602.34,0.9503398884,0.9501807146,0.9502322181,0.0703
04-23 10:00,1,-20260.51,-20260.51,7452.62,0.9504437282,0.9502739372,0.9503307701,0.0703
04-23 11:00,1,-21505.1,-21505.1,8604.31,0.9506603178,0.9504866964,0.9505463605,0.0703
04-23 12:00,1,-21041.5,-21041.5,8054.47,0.9488133104,0.9486427701,0.9487004357,0.0703
04-23 13:00,1,-20548.98,-20548.98,7532.83,0.9469235431,0.9467660347,0.9468182461,0.0703
04-23 14:00,1,-17948.65,-17948.65,5408.63,0.944340206,0.9442526042,0.9442778771,0.0703
04-23 15:00,1,-14031.07,-14031.07,2934.166,0.9456466136,0.9456491534,0.9456403266,0.0703
04-23 16:00,1,-9647.53,-9647.53,1026.719,0.9523771715,0.9524218468,0.9523974065,0.0703
04-23 17:00,1,-4841.68,-4841.68,-257.6842,0.9650932973,0.9651184037,0.9651031234,0.0703
04-23 18:00,0,0,410.983,-563.754,0.989265815,0.9892949601,0.9892841348,0.0999
04-23 19:00,0,0,730.774,-387.533,0.9964335909,0.9964177276,0.9964288444,0.0999
04-23 20:00,0,0,759.785,-370.5006,0.9965742784,0.9965615794,0.9965719468,0.0999
04-23 21:00,0,0,763.149,-368.5237,0.9964605293,0.9964505783,0.9964602378,0.0999
04-23 22:00,0,0,779.181,-359.0987,0.9965139064,0.9965069116,0.9965158633,0.0481
04-23 23:00,0,0,775.409,-361.3161,0.9963397437,0.9963347474,0.9963434493,0.0481
04-24 0:00,0,0,759.646,-370.5806,0.9963928294,0.996392413,0.996399158,0.0481
04-24 1:00,0,0,763.208,-368.4877,0.9965014157,0.9965017904,0.9965083688,0.0481
04-24 2:00,0,0,780.802,-358.1454,0.9970099558,0.9970106636,0.9970169506,0.0481
04-24 3:00,0,0,813.223,-339.0655,0.9979486773,0.9979495101,0.9979555056,0.0481
04-24 4:00,0,0,867.003,-307.354,0.999351347,0.999352263,0.9993575508,0.0481
04-24 5:00,0,0,825.604,-331.7703,0.9998194588,0.9998183346,0.9998233309,0.0481
04-24 6:00,1,-4679.39,-4679.39,-92.1426,0.9739285051,0.9739244248,0.9739257572,0.0481
04-24 7:00,1,-8279.88,-8279.88,702.455,0.9621815367,0.9622013554,0.9621911962,0.0703
04-24 8:00,1,-14600.91,-14600.91,3337.21,0.9499541324,0.9499489695,0.9499453888,0.0703
04-24 9:00,1,-16695.65,-16695.65,4464.11,0.9470954575,0.9470605666,0.9470671867,0.0703
04-24 10:00,1,-16619.4,-16619.4,4366.94,0.9465764251,0.9465500696,0.9465529425,0.0703
04-24 11:00,1,-17121.52,-17121.52,4722.72,0.9457813472,0.9457616951,0.9457621947,0.0703
04-24 12:00,1,-20930.4,-20930.4,7991.76,0.946999695,0.9469177557,0.9469446525,0.0703
04-24 13:00,1,-19897.24,-19897.24,7216.96,0.9474794648,0.9473687967,0.9474050615,0.0703
04-24 14:00,1,-16905.66,-16905.66,4941.55,0.9473790391,0.9472732425,0.9473050523,0.0703
04-24 15:00,1,-6495.97,-6495.97,169.4779,0.9643968963,0.9643624218,0.9643684174,0.0703
04-24 16:00,0,0,332.0671,-602.769,0.9916497581,0.9916520898,0.9916510905,0.0703
04-24 17:00,0,0,176.5833,-692.054,0.9895017653,0.9894968107,0.9894982263,0.0703
04-24 18:00,0,0,337.1112,-599.863,0.9901175594,0.9901290508,0.9901247624,0.0999
04-24 19:00,0,0,660.115,-422.347,0.996062449,0.996048959,0.9960581189,0.0999
04-24 20:00,0,0,575.327,-471.839,0.9948223673,0.9948095434,0.9948180788,0.0999
04-24 21:00,0,0,513.665,-507.715,0.9939027982,0.9938914316,0.993899384,0.0999
04-24 22:00,0,0,558.386,-481.702,0.9942873468,0.994279436,0.9942867639,0.0481
04-24 23:00,0,0,580.629,-468.748,0.9944095063,0.9944042602,0.994411255,0.0481
04-25 0:00,0,0,678.405,-411.647,0.9958237924,0.9958253329,0.9958292883,0.0481
04-25 1:00,0,0,811.174,-336.9927,0.9974014992,0.997406204,0.9974102011,0.0481
04-25 2:00,0,0,913.148,-286.9483,0.9987732751,0.9987800201,0.9987835591,0.0481
04-25 3:00,0,0,984.809,-244.5025,1.000109286,1.000116905,1.000120028,0.0481
04-25 4:00,0,0,1019.784,-223.7368,1.001242988,1.001250482,1.001252939,0.0481
04-25 5:00,0,0,1029.798,-217.785,1.002241998,1.002248577,1.002250534,0.0481
04-25 6:00,0,0,1059.992,-199.825,1.002097355,1.002134037,1.002123794,0.0481
04-25 7:00,0,0,1147.224,-147.8071,1.001550885,1.001644482,1.001613339,0.0703
04-25 8:00,1,-4714.08,-4714.08,137.8218,0.975509168,0.9755820308,0.9755532604,0.0703
04-25 9:00,1,-17273.64,-17273.64,5131.1,0.9484724795,0.9484662757,0.9484630281,0.0703
04-25 10:00,1,-19644.69,-19644.69,6951.34,0.9471840585,0.9471908035,0.9471842667,0.0703
04-25 11:00,1,-22068.58,-22068.58,9263.18,0.9482187923,0.948204428,0.9482083001,0.0703
04-25 12:00,1,-21758.77,-21758.77,8801.29,0.9468456841,0.9468204944,0.9468275725,0.0703
04-25 13:00,1,-20653.78,-20653.78,7754.53,0.9464061345,0.9463188658,0.9463464704,0.0703
04-25 14:00,1,-18304.53,-18304.53,5664.3,0.9459956052,0.9458485058,0.9458938472,0.0703
04-25 15:00,1,-14423.6,-14423.6,3117.291,0.9479636479,0.9478369917,0.9478727153,0.0703
04-25 16:00,1,-9961.14,-9961.14,1114.649,0.9546073118,0.9545250394,0.9545450663,0.0703
04-25 17:00,1,-5104.4,-5104.4,-171.3047,0.9673620341,0.9673274763,0.9673324726,0.0703
04-25 18:00,0,0,566.354,-477.07,0.9943897293,0.9943903538,0.9943908535,0.0999
04-25 19:00,0,0,896.257,-293.6244,0.9991855531,0.9991803903,0.9991863026,0.0999
04-25 20:00,0,0,888.333,-298.3047,0.9988986822,0.9988957677,0.9989008473,0.0999
04-25 21:00,0,0,928.027,-274.8402,0.9992219429,0.999222609,0.9992268559,0.0999
04-25 22:00,0,0,940.825,-267.2657,0.9992106596,0.9992139488,0.999217696,0.0481
04-25 23:00,0,0,927.978,-274.8697,0.9988775729,0.9988826524,0.9988861082,0.0481
04-26 0:00,0,0,907.149,-287.1875,0.9985610156,0.9985680937,0.998569884,0.0481
04-26 1:00,0,0,918.668,-280.3758,0.9987223545,0.998730182,0.998732014,0.0481
04-26 2:00,0,0,978.52,-248.2319,0.9996312231,0.9996401332,0.999641757,0.0481
04-26 3:00,0,0,1018.222,-224.664,1.000597175,1.000606418,1.000607667,0.0481
04-26 4:00,0,0,1067.773,-195.1937,1.001903541,1.00191295,1.001913533,0.0481
04-26 5:00,0,0,1068.196,-194.941,1.002797587,1.002805956,1.002805956,0.0481
04-26 6:00,0,0,1021.055,-222.9812,1.003117891,1.003125844,1.003125011,0.0481
04-26 7:00,0,0,1120.158,-163.9673,1.005116661,1.005123948,1.005122823,0.0703
04-26 8:00,1,-4206.73,-4206.73,84.90934,0.9811019435,0.9810702169,0.9810784608,0.0703
04-26 9:00,1,-4617.64,-4617.64,70.56537,0.9791489313,0.9791097936,0.9791196613,0.0703
04-26 10:00,1,-5910.12,-5910.12,264.542,0.9741522145,0.9740994619,0.9741128686,0.0703
04-26 11:00,1,-10760.43,-10760.43,1581.914,0.9595323317,0.9594359447,0.9594623002,0.0703
04-26 12:00,1,-16279.65,-16279.65,4293.29,0.9496461521,0.9495065055,0.9495474335,0.0703
04-26 13:00,1,-19751.97,-19751.97,6915.02,0.9483180938,0.9481555475,0.9482068845,0.0703
04-26 14:00,1,-18458.75,-18458.75,5786.8,0.9469196709,0.9467595812,0.9468081702,0.0703
04-26 15:00,1,-14302.64,-14302.64,3042.969,0.9483975766,0.9482632594,0.9483004818,0.0703
04-26 16:00,1,-9928.7,-9928.7,1104.013,0.9552050775,0.9551071917,0.9551315903,0.0703
04-26 17:00,1,-5105.51,-5105.51,-171.7461,0.9682537904,0.9681968326,0.968208907,0.0703
04-26 18:00,0,0,562.259,-479.454,0.9954543993,0.9954412423,0.9954465717,0.0999
04-26 19:00,0,0,898.275,-292.4322,0.9992090358,0.9992049971,0.9992091607,0.0999
04-26 20:00,0,0,915.73,-282.1138,0.9992355994,0.9992343503,0.9992375979,0.0999
04-26 21:00,0,0,888.801,-298.0296,0.9987664884,0.9987671963,0.9987698193,0.0999
04-26 22:00,0,0,926.229,-275.9046,0.9990716375,0.999075468,0.9990775081,0.0481
04-26 23:00,0,0,987.178,-243.0958,0.9996057836,0.9996128201,0.9996146521,0.0481
04-27 0:00,0,0,951.173,-264.4424,0.9988255281,0.998831024,0.998833314,0.0481
04-27 1:00,0,0,907.317,-290.3971,0.9983614967,0.9983668677,0.9983690744,0.0481
04-27 2:00,0,0,969.318,-253.6878,0.9993923167,0.9993989368,0.9994008521,0.0481
04-27 3:00,0,0,1041.098,-211.0666,1.000781038,1.000788574,1.000789907,0.0481
04-27 4:00,0,0,1084.646,-185.1434,1.002057801,1.002065213,1.00206592,0.0481
04-27 5:00,0,0,1037.745,-213.0608,1.002448012,1.002453425,1.002453717,0.0481
04-27 6:00,0,0,922.986,-281.1334,1.001904998,1.001911535,1.001910077,0.0481
04-27 7:00,1,-9965.91,-9965.91,1329.098,0.9610840161,0.961003076,0.9610258924,0.0703
04-27 8:00,1,-13284.46,-13284.46,2679.673,0.9545282038,0.9544272368,0.9544554243,0.0703
04-27 9:00,1,-17777.48,-17777.48,5276.84,0.9493062371,0.9491653414,0.9492074353,0.0703
04-27 10:00,1,-20520.88,-20520.88,7552.47,0.9494542109,0.9492972854,0.9493467904,0.0703
04-27 11:00,1,-21597.57,-21597.57,8588.44,0.9492232985,0.9490870661,0.9491305339,0.0703
04-27 12:00,1,-20800.61,-20800.61,7728.03,0.9465926631,0.946487491,0.9465189677,0.0703
04-27 13:00,1,-19576.93,-19576.93,6658.33,0.9460659281,0.9459419366,0.9459786178,0.0703
04-27 14:00,1,-18201.29,-18201.29,5608.23,0.9467284792,0.9465707626,0.9466178944,0.0703
04-27 15:00,1,-14399.51,-14399.51,3145.15,0.9482928625,0.9481592947,0.9481958926,0.0703
04-27 16:00,1,-10126.28,-10126.28,1209.569,0.9546476986,0.9545497295,0.9545737117,0.0703
04-27 17:00,1,-5305.26,-5305.26,-161.7094,0.96696233,0.9669013335,0.9669142406,0.0703
04-27 18:00,0,0,412.059,-563.131,0.9932733892,0.9932546947,0.9932611067,0.0999
04-27 19:00,0,0,730.893,-387.464,0.9968311715,0.9968209707,0.9968264666,0.0999
04-27 20:00,0,0,725.894,-390.397,0.9965804821,0.9965729044,0.9965774843,0.0999
04-27 21:00,0,0,743.489,-380.071,0.9966613805,0.9966567173,0.9966604646,0.0999
04-27 22:00,0,0,743.113,-380.292,0.9965303526,0.996528021,0.9965312686,0.0481
04-27 23:00,0,0,698.326,-406.56,0.995861223,0.9958601821,0.9958631383,0.0481
04-28 0:00,0,0,731.298,-387.225,0.9958763368,0.9958736305,0.9958789183,0.0481
04-28 1:00,0,0,777.078,-360.335,0.99656312,0.9965618709,0.9965667423,0.0481
04-28 2:00,0,0,799.771,-346.9846,0.9972043951,0.9972036873,0.9972082673,0.0481
04-28 3:00,0,0,844.405,-320.6879,0.9983547933,0.9983545018,0.9983584572,0.0481
04-28 4:00,0,0,934.506,-277.6145,1.000148382,1.000148923,1.000151838,0.0481
04-28 5:00,0,0,867.856,-317.016,1.000373007,1.000370925,1.000373673,0.0481
04-28 6:00,1,-5762.87,-5762.87,75.457,0.9713380483,0.971282631,0.9712989106,0.0481
04-28 7:00,1,-10771.97,-10771.97,1516.976,0.9584705762,0.9583703588,0.9583994206,0.0703
04-28 8:00,1,-15131.64,-15131.64,3616.94,0.9519175119,0.9517835694,0.9518231651,0.0703
04-28 9:00,1,-18779.14,-18779.14,5979.55,0.9470774708,0.9469658867,0.9469981545,0.0703
04-28 10:00,1,-20370.98,-20370.98,7342.58,0.9460872873,0.9460313704,0.9460451935,0.0703
04-28 11:00,1,-21738.66,-21738.66,8737.14,0.9477912339,0.9477055474,0.9477319861,0.0703
04-28 12:00,1,-21561.41,-21561.41,8720.7,0.9498229378,0.9496735901,0.9497226787,0.0703
04-28 13:00,1,-19872.78,-19872.78,7266.63,0.9495234513,0.9493569496,0.94941041,0.0703
04-28 14:00,1,-17716.51,-17716.51,5595.76,0.9480134444,0.9478796684,0.9479199303,0.0703
04-28 15:00,1,-13837.83,-13837.83,3156.327,0.9497548216,0.9496695098,0.9496906608,0.0703
